scientificName,records,scientificNameID
NA,54991,NA
Unidentified spp,27812,
Eukarya,14620,
Unicell,10356,
Penicillus,9376,
Myoxocephalus thompsoni,8439,ITIS:TSN:167323
Ardea picata,7564,
Bryozoa indet crusts,6727,
"Apodemus sylvaticus (Linnaeus, 1758)",5436,
Sterna,5098,137047
Globigerinoides sacculifer no sac,4057,
Egg indet,3751,
Flagellates   round,3666,
Flagellates   oval,3606,
Roundness,3191,
Balaenoptera musculus,3152,http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090
Corvus caurinus,3125,
Vanellus miles,2780,ITIS:TSN:176495
Globigerinoides trilobus trilobus,2778,
Lagena spp.,2745,
Globigerinoides trilobus sacculifer,2713,
Elusor macrurus,2663,
Phylum Radiolaria - undifferentiated,2661,
Globigerina decoraperta,2628,
Globoquadrina venezuelana,2499,
Oithona,2482,
Rangifer_tarandus,2268,
Prosopium coulteri,2181,ITIS:TSN:553389
Oithona spp.,2178,http://www.marinespecies.org/aphia.php?p=taxdetails&id=106485
Eukaryota,2115,
HENRICA SP.,2099,urn:lsid:marinespecies.org:taxname:
Subclass Copepoda,2086,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1080
IndÃ©terminÃ©,1997,
Unidentified - 9300,1964,urn:lsid:marinespecies.org:taxname:
Thalassia,1892,
Monodonta labio confusa,1865,
Oncaea spp.,1860,http://www.marinespecies.org/aphia.php?p=taxdetails&id=128690
Telasco velatus,1796,
Cypraea clandestina clandestina,1794,
Cypraea errones errones,1794,
Cypraea fimbriata fimbriata,1794,
Cypraea helvola helvola,1794,
Cypraea limacina limacina,1794,
Hyotissa chemnitzi,1794,
Lottia tenuisculpta,1794,
Platydoris tabulata,1794,
Schwartziella zeltnerioides,1794,
Thalotia attenuatus,1794,
Vitreolina auratas,1794,
Leptocylindrus danicus,1779,http://www.marinespecies.org/aphia.php?p=taxdetails&id=149106
Pterosquilla armata capensis,1717,
Nitzschia,1652,
Selachimorpha,1628,NA
Chaetoceros compressum,1623,
Navicula,1605,
Terebellidae,1592,
Grania,1550,
Pteropoda thecosomata,1547,
Pteropoda gymnosomata,1546,
Monad,1480,
Picophytoplankton,1447,0
Undaria pinnatifida f. pinnatifida,1392,
Globorotalia mentum,1353,
Illex illecebrosus,1345,urn:lsid:marinespecies.org:taxname:|urn:lsid:marinespecies.org:taxname:153087 
Potamothrix/Tubifex,1343,
Parapagurus dimorphus,1339,0
Eurytomidae,1336,
Globigerinoides obliquus obliquus,1314,
Paelopadites,1313,
No fish,1281,NA
Globoquadrina altispira altispira,1274,
"""Superclass"" Pisces - undifferentiated",1271,
Achnanthes taeniata,1255,
Raja brachyura,1227,
STONES AND ROCKS,1223,urn:lsid:marinespecies.org:taxname:
Oncaea venusta complex,1215,http://www.marinespecies.org/aphia.php?p=taxdetails&id=128954
Neogloboquadrina pachyderma dutertrei intergrade,1203,
Decapod larvae,1201,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1130
Cancer irroratus,1183,urn:lsid:marinespecies.org:taxname:
Amphipode C,1177,
Coccolithophoridae,1176,
Magnetobacterium,1160,
Boltenia,1156,urn:lsid:marinespecies.org:taxname:
Porifera indet crusts,1142,
Turborotalita quinqueloba dextralis,1128,
Chaetoceros (Phaeoceros) spp.,1103,http://www.marinespecies.org/aphia.php?p=taxdetails&id=370367
FLAGELLATA,1092,
Polysiphonia,1086,
Turborotalita quinqueloba sinistralis,1080,
Oncorhynchus_nerka,1071,
"unid. remains [SEF study, 2010]",1066,
Ceramium virgatum,1060,
Unidentified - 9630,1055,urn:lsid:marinespecies.org:taxname:
Chondria,1053,
Phyllophora,1025,
Gonatus fabricii,1017,
Chaetoceros (Hyalochaete) spp.,1001,http://www.marinespecies.org/aphia.php?p=taxdetails&id=370366
Unilocular species,999,
Pseudo-nitzschia delicatisima complex,987,http://www.marinespecies.org/aphia.php?p=taxdetails&id=149153
Montipora aequtibellata,972,
Globigerinoides quadrilobatus sacculifer,964,
Phylum Foraminifera,962,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1410
pennate diatoms,945,
Sorex coronatus complex,943,
Globorotalia tumida flexuosa,936,
Pelagic octopoda sp1,928,
Neogloboquadrina atlantica sinistralis,921,
Macrobrachium intermedium,911,
Henricia sanguinolenta,900,urn:lsid:marinespecies.org:taxname:
Rhizosolenia delicatula,899,
Chaetoceros curvisetus,850,
Micropterus dolomieui,847,ITIS:TSN:550562
Seriolella antarctica,847,
Pachyptila crassirostris eatoni,838,http://www.marinespecies.org/aphia.php?p=taxdetails&id=225781
Spinoecia porrecta,832,
"UNID REMAINS,DIGESTED",829,urn:lsid:marinespecies.org:taxname:
Dicrostonyx_groenlandicus,819,
Philine aperta,816,
Prochlorales,814,
"Skalozyb zheltiu [Soviet Fishery Data, 1998]",808,
Chaetoceros neapolitanum,798,
Sardinops sagax ocellatus,798,
MONADER,795,
Henricia,793,123276
Pyrrophycophyta,791,
Chlorophycota,782,
Globigerina quinqueloba dextralis,781,
Pseudo-nitzschia seriata complex,780,http://www.marinespecies.org/aphia.php?p=taxdetails&id=149152
Nitzschia closterium,779,http://gni.globalnames.org/?search_term=id:4511359
Oncorhynchus_keta,756,
Petrels,739,
Globigerinoides quadrilobatus trilobatus,737,
Emarginula rosea,734,
Bathyporeia pilosa,724,
Teuthoidea,722,
Glycera ronxi,719,
Vitreosalpa gemini,713,
Globorotalia continuosa,707,
Sciaenid,705,NA
Chaetoceros debilis,697,
Chondrichthyes,697,
PHYTO-FLAGELLATES,692,
Pygoscelis antarctica,692,http://www.marinespecies.org/aphia.php?p=taxdetails&id=225783
Chaetoceros danicum,690,
"Poralepididae gen. sp. unknown [Soviet Fishery Data, 1998]",690,
Lumbrineris heteropa difficilis,688,
Panopeidae,669,
Appendicularia,668,http://www.marinespecies.org/aphia.php?p=taxdetails&id=146421
Cyclops,666,
Doto,659,
Globoquadrina baroemoenensis,657,
Anonyx nugax,654,
Alcyonidium,652,155475
Scuticociliadida,644,
Cystophora subfascinata,640,
Chironomus semireductus -t.,631,
Gulo_gulo,630,
Oncorhynchus_kisutch,630,
Flagellate biflagella,628,
Polydora,626,
Algae,623,
Spinoecia parthenoda,622,
Stramenopiles,619,
"Mustela nivalis nivalis Linnaeus, 1766",616,
Favocassidulina fava,614,
Onuphis pallidula,611,
Lagena sp.,605,
Coscinodiscus radiatus,604,
Stilostomella subspinosa,600,
"Talpa europaea europaea Linnaeus, 1758",600,
Crangon,595,urn:lsid:marinespecies.org:taxname:
Globigerinoides quadrilobatus quadrilobatus,594,
Larus dominicanus dominicanus,587,ITIS:TSN:824792
Leptocheirus pilosus,586,
Triconia borealis,586,
"Mastomys natalensis Smith, 1834",585,
Plastic,584,
Gibbonsia,581,269206
Globigerina bulloides quadrilatera,577,
Saccharina japonica var. japonica,573,
Pseudocalanus,570,
Neogloboquadrina atlantica dextralis,567,
Vulpes_lagopus,567,
Spio,564,
Calliurichthys grossi,560,
Chone,556,
Flagellate uniflagella,552,
Egg,550,
Rhizosolenia imbricata,550,
Calamus pennatule,549,NA
Sphaeroidinella subdehiscens,549,
Lumbrineris aniara cingulata,547,
Rhizobium,541,
CYCLOPS,533,
Nematocysts,524,
Chaetoceros wighamii,516,
Subclass Copepoda - undifferentiated,510,
Engraulis japonicus capensis,509,
Velambassis jacksoniensis,508,
Edwardsia,506,
Bison_bison,504,
Branta_bernicla,504,
Canis_lupus,504,
Chlorotocella leptorhynchus,504,
"Eliomys quercinus quercinus (Linnaeus, 1766)",502,
Globorotalia menardii sinistralis,502,
Lucifer spp.,500,http://www.marinespecies.org/aphia.php?p=taxdetails&id=106827
Dinoflagellate cyst reworked per volume,499,
Pyogplites diacanthus,496,
CRYPTOMYS,476,
Gammaropsis lobata,474,
Paradoxornis paradoxus,474,
Hymenomycetidae,469,
Phoronida spec,467,
Sagitta neodecipiens,467,
Globigerirella siphonifera,466,
Eubosmina maritima,461,
Thalassiosira minima,461,
Xiphinematobacteriaceae,461,
Globigerina quinqueloba sinistralis,460,
Parvicardium ovale,458,
Globigerinoides ex gr. ruber,456,
Neogloboquadrina acostaensis sinistralis,454,
"Sciurus vulgaris russus Miller Jr., 1907",452,
Oncaea notopus,451,
Chaetodon lunulatus,449,
Epistominella umbonifera,449,
Eusirus holmi,445,
"Jehlius cirratus (Darwin, 1854)",444,urn:lsid:marinespecies.org:taxname:0
"Anthus trivialis trivialis (Linnaeus, 1758)",443,
Falco_peregrinus,441,
Salmo_salar,441,
"Ostraciontidae gen. sp. unknown [Soviet Fishery Data, 1998]",439,
"FOREIGN ARTICLES,GARBAGE",429,urn:lsid:marinespecies.org:taxname:
Catharacta lonnbergi lonnbergi,422,http://www.marinespecies.org/aphia.php?p=taxdetails&id=225764
Zoomorpha remains,422,
Miliolinella rotunda,420,
"Parus major major Linnaeus, 1758",420,
Nucula sulcata,419,
Nephtys spec,416,
Oceanites oceanicus oceanicus,416,
Globigerina bulloides umbilicata,415,
Chaetoceros borealis,412,
Hirsutella scitula,412,
Order Cyclopoida,412,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1103
Terebellidae juv,412,
Geminilithella spp.,411,
"Sorex coronatus Millet, 1828",411,
"Erithacus rubecula rubecula (Linnaeus, 1758)",409,
Dinoflagellate cyst varia,407,
Globigerinoides fistulosus,407,
Miscellaneous,404,
Fregetta grallaria grallaria,403,http://www.marinespecies.org/aphia.php?p=taxdetails&id=212695
Sepioidae,401,
Chaetoceros (Phaeoceros) peruvianus,399,http://www.marinespecies.org/aphia.php?p=taxdetails&id=178185
Echinidermata,398,0
Pseudopedinella pyriforme,396,
UNIDENTIFIED,396,urn:lsid:marinespecies.org:taxname:
CHAETOCERCUS,395,
Chrysophrys auratus,395,
Ferrissia (Pettancylus) petterdi,395,
"Anapagurus hyndmanni (Bell, 1845)",392,
"Lanius collurio collurio   Linnaeus, 1758",392,
"Carduelis cannabina cannabina (Linnaeus, 1758)",387,
Sphaeroidinellopsis seminulina seminulina,387,
Chromophyta,384,
Morozovella crassata,383,
ULTRANANNOPLANKTON,383,
Astarte,381,urn:lsid:marinespecies.org:taxname:
"Sylvia communis communis  Latham, 1787",381,
Spiniferites delicatus,380,
Requin non identifiÃ©,379,
Trinovantedinium applanatum,379,
Buteo_lagopus,378,
Mustela_erminea,378,
Myodes_glareolus,378,
Oncorhynchus_gorbuscha,378,
Oncorhynchus_tshawytscha,378,
Pagurus cuanensis,378,
Vulpes_vulpes,378,
Nitzschia acicularis,377,http://www.marinespecies.org/aphia.php?p=taxdetails&id=149046
Haustorius arenarius,376,
Oncaea media complex,374,http://www.marinespecies.org/aphia.php?p=taxdetails&id=128938
Truncorotalia truncatulinoides sinistralis,374,
nanoplankton with no taxonomy,374,
Phalacrocorax varius varius,372,ITIS:TSN:824227
Globorotalia conoidea,368,
"Turdus merula merula Linnaeus, 1758",368,
Owenia,367,
Dolichospermum,366,
Serpula vermicularis,366,68244
Operculodinium janduchenei,364,
Oithona grp 3,363,http://www.marinespecies.org/aphia.php?p=taxdetails&id=106485
Liparis,362,urn:lsid:marinespecies.org:taxname:
Chaetognaths,361,
Fritillaria borealis f. typica,361,
Order calanoida,361,
Globigerina angulisuturalis,360,
Infraorder Brachyura,360,http://www.marinespecies.org/aphia.php?p=taxdetails&id=106673
phytoplankton with no taxonomy,360,
Chaetoceros gracilis,358,
Globigerinoides immaturus,357,
Class hydrozoa,353,
Fusibacter,352,
Suborder Cladocera,352,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1076
Oncaea,349,
Tortue non identifiÃ©e,349,
Euthynnus alletteratus tuna,346,
Heterohelix planata,346,
Rossia,346,
Individuals per mass,345,
Heterolepa kullenbergi,344,
Acacia oncinophylla,343,
Glycera,343,
Echinocardium_cordatum,340,
Eulima bilineata,340,
Chaetoceros diversum,338,
Infraclass Cirripedia,337,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1082
Zeaglobigerina woodi,337,
Bulimina marginata forma marginata,336,
Epistominella rotunda,336,
Tintinnid sp.,335,
Barentsia,334,
Bikonta,334,
"Phylloscopus trochilus trochilus (Linnaeus, 1758)",329,
Truncorotalia truncatulinoides dextralis,329,
no observed fishes,328,NA
Globigerinita glutinata glutinata,325,
Haustator (Kurosioia) cingulifera,325,
Globorotalia multicamerta,324,
Eteone flava longa,321,
Tubularia,321,
Jania,319,
Lichens,319,
Reticulatosphaera actinocoronata,316,
Anser_anser,315,
Calidris_alpina,315,
Lynx_lynx,315,
"Passer domesticus domesticus (Linnaeus, 1758)",315,
Somateria_spectabilis,315,
Chaetoceros coarctatum,314,
Parametaphoxus fultoni,312,
Chaetoceros compressus,311,
Prosobranch,311,http://www.marinespecies.org/aphia.php?p=taxdetails&id=102
Unidentified - 8621,310,urn:lsid:marinespecies.org:taxname:
Cuttlefish: Sepia,309,
Unidentified - 8200,309,urn:lsid:marinespecies.org:taxname:
Calanoida,308,
"Pica pica pica (Linnaeus, 1758)",308,
"Pycnonotus barbatus tricolor (Hartlaub, 1862)",306,
Eudocimus ruber,305,
Monticellina,304,
Zeaglobigerina nepenthes,304,
Synedra ulna,303,
Islandium minutum,301,
Unknown,301,0|NA
"Apodemus sylvaticus sylvaticus (Linnaeus, 1758)",299,
Benthic foraminifera indeterminata,299,
Class Ostracoda,299,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1078
Galathea,299,
"Mustela erminea erminea Linnaeus, 1758",299,
Deontostoma angustifissulatum,297,
Dinoflagellate undefined,297,
Nitzschia/Lioloma/Thalassiothrix spp.,297,
Schuetiella mitra,297,
Undefined centric,297,
Undefined pennate <40  µm,297,
Undefined pennate >40  µm,297,
"Zooplankton (copepods, larvae, ciliates)",297,
cf. Chaetoceros compressus,297,
cf. Gyrosigma balticum,297,
cf. Oxytoxum turbo,297,
cf. Oxytoxum variabile,297,
cf. Pronoctiluca spp.,297,
cf. Pseudo-nitzschia subcurvata,297,
cf. Torodinium robustum,297,
cf. Alexandrium/Gonyaulax/Heterocapsa spp.,296,
"Alauda arvensis arvensis Linnaeus, 1758",295,
Argopecten circularis,292,
Atoxoplasma,292,none
Ptilanthura tricarina,292,
"Scomberomorus fasciatus (unverified) [Soviet Fishery Data, 1998]",292,
Algidasphaeridium-type,291,
Neogloboquadrina acostaensis dextralis,290,
Syllis gracilis,288,
Conchoecia teretivalvata,286,
Palaeocystodinium golzowense,286,
Unidentified - 632,286,urn:lsid:marinespecies.org:taxname:
Dendronephtya sp.,285,
Photis reinhardi,285,
Sterechinus_antarcticus,285,
Epigoninae,284,
Globoturborotalita rubescens white,284,
Unidentified - 4348,284,urn:lsid:marinespecies.org:taxname:
Globorotalia pseudopima,283,
Aquabacterium,282,
Class polychaeta,282,
Peridinoid type,282,
