scientificname,scientificnameid,records,phylum,class,order,family,genus,annotation_type,annotation_aphiaid,datasets
NA,NA,46165,NA,NA,NA,NA,NA,,,fca3b113-b145-446c-a23c-3188090e43af; 52f99f08-fc90-4684-aea8-a015150968ea; aaacf13e-a138-4b75-ba78-0b5136649365; b91d89db-79d6-4bd3-8470-1b1a5d0dbc4f; c170a0a3-c669-436b-a17b-73d442951619; f4605696-e12d-4329-95d4-48e7ee7b190d; 90b53948-d6d4-4e70-a0b3-73daffbbf01d; 821a5196-910d-4a48-9479-de456e34e2ac; 320bc4a4-e0ee-493b-b415-63ea35137879; d4ec17b8-fc96-49b9-b7b0-fcdcb588eb9c; 66f21b70-3a41-4e6d-b3cb-0f9ebcf4e15c; 36bca81c-6d77-4fd4-a981-65d494197fc5; c475545f-8fe7-4541-9583-6d609164c871; e2bc5108-1aec-47c3-8063-f070bf48c79a; da0ff4be-c009-483c-9603-c4849b950dc3; 431f96f7-521c-4182-ae89-0533c5e809dd; 81259aaa-dc2e-4caf-aa4a-bf9c48258f2a; 688e0dfb-9c19-4a98-b39c-396b9cc2b938; afc9f684-6ac0-4fd7-9600-a11b23e868b3; dddc3bc5-2e72-4a09-9310-1bb803a9a6e7; b38c4645-c526-4683-b39d-c053a6730305; 75240a03-5f51-4193-84c1-be993fc7ae3d; c18842f2-20dd-4ac5-a443-ccab785e1fae; 08c65d92-0969-4c47-9f83-0649c635de31; e1a94557-7e5b-4528-a6ef-39e4360bc056; 4467d768-9225-41e8-8cbd-c8c22ab549cd; ef941346-7846-48fb-bf3b-707317c54256; a90912f8-33de-4725-8047-38f3202e39bc; b5a87aef-6084-44b5-9c04-ca3b8454f44f; ae7f3abc-6bbf-4329-9a53-3819c01d2c08; d88a91c1-2685-4afa-9a6a-2056310218e2; 2e5f81b3-85af-4c61-9ab2-065f4cf1f605; 1996d345-0815-4653-b1d2-20daa293aea1; 46005357-02b8-4f17-b028-065bfc1cd384; 3d5985a7-d3f1-45f0-a054-9c545f3b5d57; b856037f-bbdf-45da-9b43-c7ac1a6c74d3; bd33b75e-8805-415c-94cf-e671cae8f33b; a77de2cc-0e3f-485b-8c87-eb0545423957
Unicell,,19755,,,,,,,,58420107-111e-41f9-bcb7-d8abd65a7c1b; 1f15159f-6d35-4c3f-86e8-b3a89041ea33; b9915edd-16b0-4aa9-9a0d-3d14574cfb61; 11ca6599-6a0c-4de2-9790-b37853dbd7b3; 35388ea8-2f75-4a9b-9e7d-6bec69dbd72d
Eukarya,,14620,,,,,,,,2fd06604-7d20-4712-9f68-eae9ae336bb5; f6e5b0ee-d645-40fc-a433-17fd8965c941; 6963aa86-a154-459c-aeb0-0496668512f6; 04e3fd32-b08b-4806-a016-d2dff52ae55a
sand,,6510,,,,,,,,fbf4cb59-cef3-43be-b0ab-0dbab5f51740
rock,,6510,,,,,,,,fbf4cb59-cef3-43be-b0ab-0dbab5f51740
tar,,6470,,,,,,,,fbf4cb59-cef3-43be-b0ab-0dbab5f51740
other substrate,,6322,,,,,,,,fbf4cb59-cef3-43be-b0ab-0dbab5f51740
"Apodemus sylvaticus (Linnaeus, 1758)",,5436,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758","Rodentia Bowdich, 1819",Muridae Illiger,"Apodemus Kaup, 1829",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
NA,NA,5319,,,,,,,,29ca1325-35dd-4b6d-98b6-e1c6aac45011; e4a2fe06-f082-4f36-9165-73263a121508; 29059698-61ea-4882-9e1f-fca042056ddf
Ardea picata,,4981,Chordata,Aves,,,,,,8af3708a-81fb-4edd-ade6-b23532a0f26c; cfb33cb9-fa1e-427e-9fb4-9e41080d2aac; 0614bd5f-591b-427f-ae7d-eb89942aca79; 6391c5fe-858b-4d84-95e6-795172e8165c
